id,date,country,store,product,num_sold
2,01/01/2010,Canada,Discount Stickers,Kaggle Tiers,9060.0
92,02/01/2010,Canada,Discount Stickers,Kaggle Tiers,8540.0
182,03/01/2010,Canada,Discount Stickers,Kaggle Tiers,8390.0
272,04/01/2010,Canada,Discount Stickers,Kaggle Tiers,6090.0
362,05/01/2010,Canada,Discount Stickers,Kaggle Tiers,6400.0
452,06/01/2010,Canada,Discount Stickers,Kaggle Tiers,6480.0
542,07/01/2010,Canada,Discount Stickers,Kaggle Tiers,5800.0
632,08/01/2010,Canada,Discount Stickers,Kaggle Tiers,5900.0
722,09/01/2010,Canada,Discount Stickers,Kaggle Tiers,6040.0
812,10/01/2010,Canada,Discount Stickers,Kaggle Tiers,6990.0
902,11/01/2010,Canada,Discount Stickers,Kaggle Tiers,5800.0
992,12/01/2010,Canada,Discount Stickers,Kaggle Tiers,5170.0
1082,13/01/2010,Canada,Discount Stickers,Kaggle Tiers,4990.0
1172,14/01/2010,Canada,Discount Stickers,Kaggle Tiers,5680.0
1262,15/01/2010,Canada,Discount Stickers,Kaggle Tiers,5100.0
1352,16/01/2010,Canada,Discount Stickers,Kaggle Tiers,5880.0
1442,17/01/2010,Canada,Discount Stickers,Kaggle Tiers,6280.0
1532,18/01/2010,Canada,Discount Stickers,Kaggle Tiers,5790.0
1622,19/01/2010,Canada,Discount Stickers,Kaggle Tiers,5940.0
1712,20/01/2010,Canada,Discount Stickers,Kaggle Tiers,5540.0
1802,21/01/2010,Canada,Discount Stickers,Kaggle Tiers,5290.0
1892,22/01/2010,Canada,Discount Stickers,Kaggle Tiers,6440.0
1982,23/01/2010,Canada,Discount Stickers,Kaggle Tiers,6410.0
2072,24/01/2010,Canada,Discount Stickers,Kaggle Tiers,7140.0
2162,25/01/2010,Canada,Discount Stickers,Kaggle Tiers,5370.0
2252,26/01/2010,Canada,Discount Stickers,Kaggle Tiers,5410.0
2342,27/01/2010,Canada,Discount Stickers,Kaggle Tiers,5530.0
2432,28/01/2010,Canada,Discount Stickers,Kaggle Tiers,5300.0
2522,29/01/2010,Canada,Discount Stickers,Kaggle Tiers,5920.0
2612,30/01/2010,Canada,Discount Stickers,Kaggle Tiers,6240.0
2702,31/01/2010,Canada,Discount Stickers,Kaggle Tiers,6400.0
2792,01/02/2010,Canada,Discount Stickers,Kaggle Tiers,5830.0
2882,02/02/2010,Canada,Discount Stickers,Kaggle Tiers,5400.0
2972,03/02/2010,Canada,Discount Stickers,Kaggle Tiers,5480.0
3062,04/02/2010,Canada,Discount Stickers,Kaggle Tiers,5690.0
3152,05/02/2010,Canada,Discount Stickers,Kaggle Tiers,5640.0
3242,06/02/2010,Canada,Discount Stickers,Kaggle Tiers,5510.0
3332,07/02/2010,Canada,Discount Stickers,Kaggle Tiers,6720.0
3422,08/02/2010,Canada,Discount Stickers,Kaggle Tiers,4950.0
3512,09/02/2010,Canada,Discount Stickers,Kaggle Tiers,5170.0
3602,10/02/2010,Canada,Discount Stickers,Kaggle Tiers,5440.0
3692,11/02/2010,Canada,Discount Stickers,Kaggle Tiers,5920.0
3782,12/02/2010,Canada,Discount Stickers,Kaggle Tiers,5470.0
3872,13/02/2010,Canada,Discount Stickers,Kaggle Tiers,5710.0
3962,14/02/2010,Canada,Discount Stickers,Kaggle Tiers,6870.0
